timestamp,equipment_id,operator_id,latitude,longitude,speed_mph,engine_load_pct,engine_rpm,fuel_rate_gph,co2_rate_lbs_per_hour,fuel_cost_per_hour,operation_type,operation_name,implement_width_ft,hydraulic_pressure_psi,coolant_temp_f,soil_type,terrain_type,field_acres,pass_number,acres_per_hour,fuel_per_acre,weather_factor
2025-08-10T09:33:37.086917,JD8370R_001,OP_001,41.584237,-93.631852,3.6,72.0,1903,25.62,573.89,98.64,planter,Spring Planting,24,2117,189,sand,hilly,160,0,0.02,1564.37,1.04
2025-08-10T09:33:39.394609,JD8370R_001,OP_001,41.584234,-93.63172,4.1,67.0,1868,23.43,524.83,90.21,planter,Spring Planting,24,2559,196,sand,hilly,160,0,0.02,1249.08,1.04
2025-08-10T09:33:41.702302,JD8370R_001,OP_001,41.584245,-93.6315,3.7,78.0,1946,28.07,628.77,108.07,planter,Spring Planting,24,2120,186,sand,hilly,160,0,0.02,1683.56,1.04
2025-08-10T09:33:44.009994,JD8370R_001,OP_001,41.584236,-93.631322,4.9,66.8,1867,23.03,515.87,88.67,planter,Spring Planting,24,2200,200,sand,hilly,160,0,0.02,1024.8,1.04
2025-08-10T09:33:46.317686,JD8370R_001,OP_001,41.584218,-93.631166,5.0,64.8,1853,22.23,497.95,85.59,planter,Spring Planting,24,2318,194,sand,hilly,160,0,0.02,968.98,1.04
2025-08-10T09:33:48.625379,JD8370R_001,OP_001,41.584216,-93.630976,6.1,86.5,2005,30.35,679.84,116.85,planter,Spring Planting,24,2295,201,sand,hilly,160,0,0.03,1096.73,1.04
2025-08-10T09:33:50.933071,JD8370R_001,OP_001,41.584278,-93.630814,4.5,66.9,1868,23.26,521.02,89.55,planter,Spring Planting,24,1993,194,sand,hilly,160,0,0.02,1131.56,1.04
2025-08-10T09:33:53.240763,JD8370R_001,OP_001,41.584213,-93.630631,7.5,81.9,1973,28.79,644.9,110.84,planter,Spring Planting,24,2610,186,sand,hilly,160,0,0.03,846.2,1.04
2025-08-10T09:33:55.548455,JD8370R_001,OP_001,41.584262,-93.630471,4.9,60.1,1820,20.49,458.98,78.89,planter,Spring Planting,24,2208,194,sand,hilly,160,0,0.02,919.39,1.04
2025-08-10T09:33:57.856148,JD8370R_001,OP_001,41.584218,-93.63029,7.4,75.5,1928,26.19,586.66,100.83,planter,Spring Planting,24,1872,194,sand,hilly,160,0,0.03,775.37,1.04
2025-08-10T09:34:00.163840,JD8370R_001,OP_001,41.584243,-93.630107,5.0,61.8,1832,21.1,472.64,81.24,planter,Spring Planting,24,2382,199,sand,hilly,160,0,0.02,921.4,1.04
2025-08-10T09:34:02.471532,JD8370R_001,OP_001,41.584216,-93.629927,4.8,84.6,1992,30.26,677.82,116.5,planter,Spring Planting,24,2249,192,sand,hilly,160,0,0.02,1399.24,1.04
2025-08-10T09:34:04.779225,JD8370R_001,OP_001,41.584206,-93.629761,7.0,83.4,1983,29.12,652.29,112.11,planter,Spring Planting,24,2623,204,sand,hilly,160,0,0.03,914.14,1.04
2025-08-10T09:34:07.086917,JD8370R_001,OP_001,41.584242,-93.629583,5.4,69.4,1885,23.85,534.24,91.82,planter,Spring Planting,24,2274,197,sand,hilly,160,0,0.02,969.29,1.04
2025-08-10T09:34:09.394609,JD8370R_001,OP_001,41.584227,-93.629421,4.6,61.5,1830,21.14,473.54,81.39,planter,Spring Planting,24,1907,203,sand,hilly,160,0,0.02,1011.46,1.04
2025-08-10T09:34:11.702302,JD8370R_001,OP_001,41.584258,-93.629277,4.9,70.0,1889,24.28,543.87,93.48,planter,Spring Planting,24,2156,187,sand,hilly,160,0,0.02,1079.44,1.04
2025-08-10T09:34:14.009994,JD8370R_001,OP_001,41.584243,-93.629091,7.2,87.4,2011,30.88,691.71,118.89,planter,Spring Planting,24,2101,198,sand,hilly,160,0,0.03,941.8,1.04
2025-08-10T09:34:16.317686,JD8370R_001,OP_001,41.584235,-93.628889,7.2,69.4,1885,23.69,530.66,91.21,planter,Spring Planting,24,2610,191,sand,hilly,160,0,0.03,722.9,1.04
2025-08-10T09:34:18.625379,JD8370R_001,OP_001,41.584211,-93.628749,5.8,61.8,1832,20.83,466.59,80.2,planter,Spring Planting,24,2585,188,sand,hilly,160,0,0.03,787.99,1.04
2025-08-10T09:34:20.933071,JD8370R_001,OP_001,41.584255,-93.62851,7.2,83.1,1982,29.12,652.29,112.11,planter,Spring Planting,24,2497,197,sand,hilly,160,0,0.03,892.17,1.04
2025-08-10T09:34:23.240763,JD8370R_001,OP_001,41.584257,-93.628372,5.1,61.7,1831,21.03,471.07,80.97,planter,Spring Planting,24,2333,185,sand,hilly,160,0,0.02,907.18,1.04
2025-08-10T09:34:25.548455,JD8370R_001,OP_001,41.584261,-93.628239,5.4,59.7,1817,20.18,452.03,77.69,planter,Spring Planting,24,2130,185,sand,hilly,160,0,0.02,820.95,1.04
2025-08-10T09:34:27.856148,JD8370R_001,OP_001,41.584224,-93.628023,7.4,66.5,1865,22.69,508.26,87.36,planter,Spring Planting,24,2545,195,sand,hilly,160,0,0.03,672.29,1.04
2025-08-10T09:34:30.163840,JD8370R_001,OP_001,41.584239,-93.62787,5.0,74.2,1919,25.94,581.06,99.87,planter,Spring Planting,24,2560,190,sand,hilly,160,0,0.02,1146.99,1.04
2025-08-10T09:34:32.471532,JD8370R_001,OP_001,41.584263,-93.627659,4.8,69.5,1886,24.16,541.18,93.02,planter,Spring Planting,24,2240,188,sand,hilly,160,0,0.02,1106.91,1.04
2025-08-10T09:34:34.779225,JD8370R_001,OP_001,41.584223,-93.627509,6.0,85.9,2001,30.13,674.91,116.0,planter,Spring Planting,24,2108,196,sand,hilly,160,0,0.03,1098.24,1.04
2025-08-10T09:34:37.086917,JD8370R_001,OP_001,41.584268,-93.627341,5.4,78.9,1952,27.59,618.02,106.22,planter,Spring Planting,24,1869,190,sand,hilly,160,0,0.02,1121.39,1.04
2025-08-10T09:34:39.394609,JD8370R_001,OP_001,41.584269,-93.62716,7.8,69.0,1882,23.8,533.12,91.63,planter,Spring Planting,24,2774,200,sand,hilly,160,0,0.04,668.06,1.04
2025-08-10T09:34:41.702302,JD8370R_001,OP_001,41.584248,-93.626995,7.9,82.6,1978,29.28,655.87,112.73,planter,Spring Planting,24,2507,201,sand,hilly,160,0,0.04,812.29,1.04
2025-08-10T09:34:44.009994,JD8370R_001,OP_001,41.584228,-93.626813,4.5,88.2,2017,31.89,714.34,122.78,planter,Spring Planting,24,1815,198,sand,hilly,160,0,0.02,1553.63,1.04
2025-08-10T09:34:46.317686,JD8370R_001,OP_001,41.584261,-93.626641,6.9,73.3,1913,25.09,562.02,96.6,planter,Spring Planting,24,2498,195,sand,hilly,160,0,0.03,801.61,1.04
2025-08-10T09:34:48.625379,JD8370R_001,OP_001,41.584258,-93.626474,7.8,68.3,1878,23.5,526.4,90.48,planter,Spring Planting,24,2746,203,sand,hilly,160,0,0.04,666.28,1.04
2025-08-10T09:34:50.933071,JD8370R_001,OP_001,41.584224,-93.626306,5.3,75.5,1928,26.3,589.12,101.26,planter,Spring Planting,24,2655,194,sand,hilly,160,0,0.02,1101.86,1.04
2025-08-10T09:34:53.240763,JD8370R_001,OP_001,41.584224,-93.626141,5.0,75.5,1928,26.44,592.26,101.79,planter,Spring Planting,24,2379,204,sand,hilly,160,0,0.02,1162.3,1.04
2025-08-10T09:34:55.548455,JD8370R_001,OP_001,41.584247,-93.62594,6.8,70.5,1893,23.98,537.15,92.32,planter,Spring Planting,24,2787,204,sand,hilly,160,0,0.03,774.28,1.04
2025-08-10T09:34:57.856148,JD8370R_001,OP_001,41.584261,-93.625819,5.2,79.6,1956,27.98,626.75,107.72,planter,Spring Planting,24,1902,204,sand,hilly,160,0,0.02,1183.9,1.04
2025-08-10T09:35:00.163840,JD8370R_001,OP_001,41.584201,-93.625612,7.2,89.7,2027,31.82,712.77,122.51,planter,Spring Planting,24,2041,189,sand,hilly,160,0,0.03,971.82,1.04
2025-08-10T09:35:02.471532,JD8370R_001,OP_001,41.584263,-93.625459,6.0,73.7,1916,25.27,566.05,97.29,planter,Spring Planting,24,2096,188,sand,hilly,160,0,0.03,920.1,1.04
2025-08-10T09:35:04.779225,JD8370R_001,OP_001,41.584236,-93.62525,5.5,88.7,2020,31.57,707.17,121.54,planter,Spring Planting,24,2443,191,sand,hilly,160,0,0.02,1268.82,1.04
2025-08-10T09:35:07.086917,JD8370R_001,OP_001,41.584251,-93.625082,6.1,77.0,1938,26.53,594.27,102.14,planter,Spring Planting,24,2046,200,sand,hilly,160,0,0.03,963.99,1.04
