timestamp,equipment_id,operator_id,latitude,longitude,speed_mph,engine_load_pct,engine_rpm,fuel_rate_gph,co2_rate_lbs_per_hour,fuel_cost_per_hour,operation_type,operation_name,implement_width_ft,hydraulic_pressure_psi,coolant_temp_f,soil_type,terrain_type,field_acres,pass_number,acres_per_hour,fuel_per_acre,weather_factor
2025-08-10T09:33:37.813068,JD8370R_001,OP_001,41.584237,-93.63185,6.6,85.7,1999,29.45,659.68,113.38,sprayer,Chemical Application,60,2534,204,clay,flat,160,0,0.07,395.25,1.16
2025-08-10T09:33:43.527354,JD8370R_001,OP_001,41.584254,-93.631685,6.0,71.1,1897,23.98,537.15,92.32,sprayer,Chemical Application,60,2066,197,clay,flat,160,0,0.07,353.47,1.16
2025-08-10T09:33:49.241639,JD8370R_001,OP_001,41.584203,-93.631494,9.3,76.0,1931,26.9,602.56,103.56,sprayer,Chemical Application,60,1962,187,clay,flat,160,0,0.11,253.81,1.16
2025-08-10T09:33:54.955925,JD8370R_001,OP_001,41.584281,-93.631285,9.2,68.1,1876,23.72,531.33,91.32,sprayer,Chemical Application,60,2472,188,clay,flat,160,0,0.11,225.87,1.16
2025-08-10T09:34:00.670211,JD8370R_001,OP_001,41.584255,-93.631149,9.6,85.0,1994,30.76,689.02,118.43,sprayer,Chemical Application,60,2005,187,clay,flat,160,0,0.11,281.43,1.16
2025-08-10T09:34:06.384497,JD8370R_001,OP_001,41.584225,-93.630957,11.0,66.6,1866,23.8,533.12,91.63,sprayer,Chemical Application,60,2735,197,clay,flat,160,0,0.12,190.65,1.16
2025-08-10T09:34:12.098782,JD8370R_001,OP_001,41.584212,-93.630809,14.7,70.6,1894,26.91,602.78,103.6,sprayer,Chemical Application,60,2106,198,clay,flat,160,0,0.17,161.38,1.16
2025-08-10T09:34:17.813068,JD8370R_001,OP_001,41.584198,-93.630606,13.5,94.4,2060,37.09,830.82,142.8,sprayer,Chemical Application,60,2203,187,clay,flat,160,0,0.15,242.42,1.16
2025-08-10T09:34:23.527354,JD8370R_001,OP_001,41.584275,-93.630469,13.7,85.1,1995,32.92,737.41,126.74,sprayer,Chemical Application,60,1848,189,clay,flat,160,0,0.16,211.39,1.16
2025-08-10T09:34:29.241639,JD8370R_001,OP_001,41.58425,-93.630265,14.6,83.0,1981,32.45,726.88,124.93,sprayer,Chemical Application,60,2488,187,clay,flat,160,0,0.17,195.76,1.16
2025-08-10T09:34:34.955925,JD8370R_001,OP_001,41.584221,-93.630105,9.7,84.0,1987,30.37,680.29,116.92,sprayer,Chemical Application,60,2640,196,clay,flat,160,0,0.11,276.38,1.16
2025-08-10T09:34:40.670211,JD8370R_001,OP_001,41.584258,-93.629976,8.6,89.6,2027,32.16,720.38,123.82,sprayer,Chemical Application,60,1917,193,clay,flat,160,0,0.1,328.67,1.16
2025-08-10T09:34:46.384497,JD8370R_001,OP_001,41.584221,-93.629774,9.9,76.4,1934,27.35,612.64,105.3,sprayer,Chemical Application,60,1901,194,clay,flat,160,0,0.11,242.25,1.16
2025-08-10T09:34:52.098782,JD8370R_001,OP_001,41.584252,-93.629562,14.8,95.0,2065,38.14,854.34,146.84,sprayer,Chemical Application,60,1857,196,clay,flat,160,0,0.17,227.34,1.16
2025-08-10T09:34:57.813068,JD8370R_001,OP_001,41.5842,-93.629416,12.7,83.7,1985,31.77,711.65,122.31,sprayer,Chemical Application,60,2082,193,clay,flat,160,0,0.14,220.44,1.16
2025-08-10T09:35:03.527354,JD8370R_001,OP_001,41.584244,-93.629267,15.0,82.9,1980,32.57,729.57,125.39,sprayer,Chemical Application,60,2732,194,clay,flat,160,0,0.17,191.14,1.16
2025-08-10T09:35:09.241639,JD8370R_001,OP_001,41.584232,-93.629082,12.7,67.8,1874,24.92,558.21,95.94,sprayer,Chemical Application,60,2309,199,clay,flat,160,0,0.14,173.33,1.16
2025-08-10T09:35:14.955925,JD8370R_001,OP_001,41.584235,-93.628932,14.1,94.9,2063,37.68,844.03,145.07,sprayer,Chemical Application,60,2365,196,clay,flat,160,0,0.16,235.13,1.16
2025-08-10T09:35:20.670211,JD8370R_001,OP_001,41.584273,-93.628746,10.1,95.0,2065,35.36,792.06,136.14,sprayer,Chemical Application,60,2206,187,clay,flat,160,0,0.11,307.54,1.16
2025-08-10T09:35:26.384497,JD8370R_001,OP_001,41.584222,-93.628599,9.7,70.8,1895,24.97,559.33,96.13,sprayer,Chemical Application,60,2142,185,clay,flat,160,0,0.11,225.88,1.16
2025-08-10T09:35:32.098782,JD8370R_001,OP_001,41.584209,-93.628387,11.9,93.2,2052,35.62,797.89,137.14,sprayer,Chemical Application,60,2024,203,clay,flat,160,0,0.14,263.05,1.16
2025-08-10T09:35:37.813068,JD8370R_001,OP_001,41.584239,-93.628195,11.2,95.0,2065,35.98,805.95,138.52,sprayer,Chemical Application,60,1907,195,clay,flat,160,0,0.13,283.84,1.16
2025-08-10T09:35:43.527354,JD8370R_001,OP_001,41.584248,-93.62806,11.8,70.8,1895,25.82,578.37,99.41,sprayer,Chemical Application,60,2465,188,clay,flat,160,0,0.13,192.48,1.16
2025-08-10T09:35:49.241639,JD8370R_001,OP_001,41.584223,-93.627863,12.1,69.5,1886,25.41,569.18,97.83,sprayer,Chemical Application,60,2150,188,clay,flat,160,0,0.14,184.8,1.16
2025-08-10T09:35:54.955925,JD8370R_001,OP_001,41.584275,-93.627692,14.3,76.4,1934,29.31,656.54,112.84,sprayer,Chemical Application,60,2125,194,clay,flat,160,0,0.16,180.01,1.16
2025-08-10T09:36:00.670211,JD8370R_001,OP_001,41.584224,-93.627547,13.1,93.7,2055,36.53,818.27,140.64,sprayer,Chemical Application,60,1946,203,clay,flat,160,0,0.15,245.74,1.16
2025-08-10T09:36:06.384497,JD8370R_001,OP_001,41.58419,-93.627378,12.0,91.2,2038,34.75,778.4,133.79,sprayer,Chemical Application,60,1973,186,clay,flat,160,0,0.14,254.51,1.16
2025-08-10T09:36:12.098782,JD8370R_001,OP_001,41.58422,-93.627151,13.0,95.0,2065,37.11,831.26,142.87,sprayer,Chemical Application,60,1859,185,clay,flat,160,0,0.15,250.48,1.16
2025-08-10T09:36:17.813068,JD8370R_001,OP_001,41.584232,-93.626957,15.0,94.8,2063,38.16,854.78,146.92,sprayer,Chemical Application,60,2406,193,clay,flat,160,0,0.17,224.38,1.16
2025-08-10T09:36:23.527354,JD8370R_001,OP_001,41.584225,-93.626841,9.6,95.0,2065,35.06,785.34,134.98,sprayer,Chemical Application,60,2662,185,clay,flat,160,0,0.11,320.58,1.16
2025-08-10T09:36:29.241639,JD8370R_001,OP_001,41.584207,-93.626639,11.4,68.7,1880,24.8,555.52,95.48,sprayer,Chemical Application,60,2707,196,clay,flat,160,0,0.13,191.39,1.16
2025-08-10T09:36:34.955925,JD8370R_001,OP_001,41.584271,-93.626491,9.2,74.3,1919,26.13,585.31,100.6,sprayer,Chemical Application,60,2765,193,clay,flat,160,0,0.1,250.85,1.16
2025-08-10T09:36:40.670211,JD8370R_001,OP_001,41.584217,-93.626317,10.9,88.4,2018,32.89,736.74,126.63,sprayer,Chemical Application,60,2336,195,clay,flat,160,0,0.12,266.76,1.16
2025-08-10T09:36:46.384497,JD8370R_001,OP_001,41.58423,-93.626168,10.4,86.3,2004,31.72,710.53,122.12,sprayer,Chemical Application,60,2396,205,clay,flat,160,0,0.12,268.45,1.16
2025-08-10T09:36:52.098782,JD8370R_001,OP_001,41.584242,-93.625957,10.0,93.7,2055,34.7,777.28,133.6,sprayer,Chemical Application,60,2433,201,clay,flat,160,0,0.11,306.6,1.16
2025-08-10T09:36:57.813068,JD8370R_001,OP_001,41.58427,-93.625753,8.2,74.4,1921,25.78,577.47,99.25,sprayer,Chemical Application,60,2340,189,clay,flat,160,0,0.09,276.33,1.16
2025-08-10T09:37:03.527354,JD8370R_001,OP_001,41.584224,-93.625606,14.7,95.0,2065,38.1,853.44,146.69,sprayer,Chemical Application,60,1865,193,clay,flat,160,0,0.17,228.2,1.16
2025-08-10T09:37:09.241639,JD8370R_001,OP_001,41.584257,-93.625421,10.0,86.3,2003,31.51,705.82,121.31,sprayer,Chemical Application,60,2641,193,clay,flat,160,0,0.11,276.88,1.16
2025-08-10T09:37:14.955925,JD8370R_001,OP_001,41.584205,-93.625255,13.5,73.5,1914,27.7,620.48,106.64,sprayer,Chemical Application,60,2452,192,clay,flat,160,0,0.15,180.56,1.16
2025-08-10T09:37:20.670211,JD8370R_001,OP_001,41.584217,-93.625078,14.5,84.2,1989,32.93,737.63,126.78,sprayer,Chemical Application,60,2130,199,clay,flat,160,0,0.16,199.7,1.16
2025-08-10T09:37:26.384497,JD8370R_001,OP_001,41.584258,-93.624928,14.1,68.9,1882,25.96,581.5,99.95,sprayer,Chemical Application,60,2279,201,clay,flat,160,0,0.16,161.57,1.16
2025-08-10T09:37:32.098782,JD8370R_001,OP_001,41.584233,-93.624742,8.2,91.2,2038,32.59,730.02,125.47,sprayer,Chemical Application,60,2668,200,clay,flat,160,0,0.09,349.48,1.16
2025-08-10T09:37:37.813068,JD8370R_001,OP_001,41.58426,-93.624578,13.5,70.7,1895,26.49,593.38,101.99,sprayer,Chemical Application,60,2660,194,clay,flat,160,0,0.15,173.23,1.16
2025-08-10T09:37:43.527354,JD8370R_001,OP_001,41.584223,-93.624418,14.6,67.7,1873,25.64,574.34,98.71,sprayer,Chemical Application,60,2401,196,clay,flat,160,0,0.17,154.05,1.16
2025-08-10T09:37:49.241639,JD8370R_001,OP_001,41.584247,-93.624223,9.7,66.7,1866,23.34,522.82,89.86,sprayer,Chemical Application,60,1885,186,clay,flat,160,0,0.11,212.33,1.16
2025-08-10T09:37:54.955925,JD8370R_001,OP_001,41.584243,-93.624055,9.6,82.8,1979,29.85,668.64,114.92,sprayer,Chemical Application,60,2616,201,clay,flat,160,0,0.11,272.7,1.16
2025-08-10T09:38:00.670211,JD8370R_001,OP_001,41.584269,-93.623872,12.9,80.0,1959,30.25,677.6,116.46,sprayer,Chemical Application,60,1980,197,clay,flat,160,0,0.15,205.95,1.16
2025-08-10T09:38:06.384497,JD8370R_001,OP_001,41.584258,-93.623696,14.5,95.0,2065,38.01,851.42,146.34,sprayer,Chemical Application,60,2362,185,clay,flat,160,0,0.17,230.12,1.16
2025-08-10T09:38:12.098782,JD8370R_001,OP_001,41.584262,-93.62354,8.7,95.0,2065,34.53,773.47,132.94,sprayer,Chemical Application,60,1838,202,clay,flat,160,0,0.1,347.48,1.16
2025-08-10T09:38:17.813068,JD8370R_001,OP_001,41.584243,-93.623324,14.1,89.0,2023,34.96,783.1,134.6,sprayer,Chemical Application,60,2158,191,clay,flat,160,0,0.16,218.0,1.16
2025-08-10T09:38:23.527354,JD8370R_001,OP_001,41.584235,-93.623146,10.0,78.3,1948,28.15,630.56,108.38,sprayer,Chemical Application,60,2448,203,clay,flat,160,0,0.11,248.38,1.16
2025-08-10T09:38:29.241639,JD8370R_001,OP_001,41.584231,-93.623024,13.6,78.8,1951,30.09,674.02,115.85,sprayer,Chemical Application,60,2015,205,clay,flat,160,0,0.15,194.22,1.16
2025-08-10T09:38:34.955925,JD8370R_001,OP_001,41.584246,-93.622839,11.2,88.7,2020,33.18,743.23,127.74,sprayer,Chemical Application,60,1896,187,clay,flat,160,0,0.13,261.5,1.16
2025-08-10T09:38:40.670211,JD8370R_001,OP_001,41.584237,-93.622655,12.1,88.5,2019,33.58,752.19,129.28,sprayer,Chemical Application,60,2178,203,clay,flat,160,0,0.14,244.43,1.16
2025-08-10T09:38:46.384497,JD8370R_001,OP_001,41.584229,-93.622482,9.5,89.1,2023,32.47,727.33,125.01,sprayer,Chemical Application,60,2333,201,clay,flat,160,0,0.11,300.25,1.16
2025-08-10T09:38:52.098782,JD8370R_001,OP_001,41.584231,-93.622302,14.6,74.9,1924,28.77,644.45,110.76,sprayer,Chemical Application,60,1898,186,clay,flat,160,0,0.17,173.85,1.16
2025-08-10T09:38:57.813068,JD8370R_001,OP_001,41.584253,-93.622126,10.0,80.7,1965,29.15,652.96,112.23,sprayer,Chemical Application,60,2652,204,clay,flat,160,0,0.11,257.52,1.16
2025-08-10T09:39:03.527354,JD8370R_001,OP_001,41.584255,-93.622014,10.8,87.2,2010,32.3,723.52,124.35,sprayer,Chemical Application,60,2244,187,clay,flat,160,0,0.12,263.62,1.16
2025-08-10T09:39:09.241639,JD8370R_001,OP_001,41.584252,-93.621779,12.6,94.4,2061,36.6,819.84,140.91,sprayer,Chemical Application,60,1995,187,clay,flat,160,0,0.14,255.13,1.16
